NETWORK STATION CHANNEL START_TIME START_TIME_MINUTES END_TIME END_TIME_MINUTES LAT LON ELEVATION DEPTH AZIMUTH DIP SAMPLE_RATE days
7D FS02D BH1 2014-07-16 00:00:00 2015-08-28 23:59:59 40.326 -124.800201 -947.9 0.0 0.0 0.0 50.0 408.0
7D FS02D BH2 2014-07-16 00:00:00 2015-08-28 23:59:59 40.326 -124.800201 -947.9 0.0 0.0 0.0 50.0 408.0
7D FS02D BHZ 2014-07-16 00:00:00 2015-08-28 23:59:59 40.326 -124.800201 -947.9 0.0 0.0 -90.0 50.0 408.0
7D FS03B HH1 2012-09-14 09:36:30 2013-07-01 17:26:20 40.273201 -124.652603 -345.0 0.0 0.0 0.0 125.0 290.0
7D FS03B HH2 2012-09-14 09:36:30 2013-07-01 17:26:20 40.273201 -124.652603 -345.0 0.0 0.0 0.0 125.0 290.0
7D FS03B HHZ 2012-09-14 09:36:30 2013-07-01 17:26:20 40.273201 -124.652603 -345.0 0.0 0.0 -90.0 125.0 290.0
7D FS04B HH1 2012-09-14 14:52:05 2013-07-01 17:28:25 40.244701 -124.509697 -159.0 0.0 0.0 0.0 125.0 290.0
7D FS04B HH2 2012-09-14 14:52:05 2013-07-01 17:28:25 40.244701 -124.509697 -159.0 0.0 0.0 0.0 125.0 290.0
7D FS04B HHZ 2012-09-14 14:52:05 2013-07-01 17:28:25 40.244701 -124.509697 -159.0 0.0 0.0 -90.0 125.0 290.0
7D FS04D BH1 2014-08-12 00:46:00 2015-09-15 09:07:58 40.2528 -124.505203 -155.0 0.0 0.0 -90.0 50.0 399.0
7D FS04D BH2 2014-08-12 00:46:00 2015-09-15 09:07:58 40.2528 -124.505203 -155.0 0.0 0.0 -90.0 50.0 399.0
7D FS04D BHZ 2014-08-12 00:46:00 2015-09-15 09:07:58 40.2528 -124.505203 -155.0 0.0 0.0 -90.0 50.0 399.0
7D FS05B BH1 2012-08-27 00:00:00 2013-06-12 23:59:59 40.3866 -124.899597 -2316.0 0.0 0.0 0.0 50.0 289.0
7D FS05B BH2 2012-08-27 00:00:00 2013-06-12 23:59:59 40.3866 -124.899597 -2316.0 0.0 0.0 0.0 50.0 289.0
7D FS05B BHZ 2012-08-27 00:00:00 2013-06-12 23:59:59 40.3866 -124.899597 -2316.0 0.0 0.0 -90.0 50.0 289.0
7D FS06B BH1 2012-08-27 00:00:00 2013-06-12 23:59:59 40.381199 -124.785301 -2198.0 0.0 0.0 0.0 50.0 289.0
7D FS06B BH2 2012-08-27 00:00:00 2013-06-12 23:59:59 40.381199 -124.785301 -2198.0 0.0 0.0 0.0 50.0 289.0
7D FS06B BHZ 2012-08-27 00:00:00 2013-06-12 23:59:59 40.381199 -124.785301 -2198.0 0.0 0.0 -90.0 50.0 289.0
7D FS06D BH1 2014-07-16 00:00:00 2015-08-28 23:59:59 40.369999 -124.806702 -1946.8 0.0 0.0 0.0 50.0 408.0
7D FS06D BH2 2014-07-16 00:00:00 2015-08-28 23:59:59 40.369999 -124.806702 -1946.8 0.0 0.0 0.0 50.0 408.0
7D FS06D BHZ 2014-07-16 00:00:00 2015-08-28 23:59:59 40.369999 -124.806702 -1946.8 0.0 0.0 -90.0 50.0 408.0
